[Tue Aug 07 21:39:08.020926 2018] [:error] [pid 7219] [client 127.0.0.1:38630] PHP Notice:  Undefined index: email in /home/alina/www/project/www/modules/login/set-new-password.php on line 7
[Tue Aug 07 23:40:12.662110 2018] [:error] [pid 14192] [client 127.0.0.1:40066] PHP Notice:  Undefined index: code in /home/alina/www/project/www/templates/login/set-new-password.tpl on line 13, referer: http://project:81/set-new-password?email=alina3a@bk.ru&code=4ykNdiw3nap96Xx
[Tue Aug 07 23:53:03.601909 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Undefined index: logged_user in /home/alina/www/project/www/modules/profile/edit.php on line 3
[Tue Aug 07 23:53:03.601977 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/modules/profile/edit.php on line 5
[Tue Aug 07 23:53:03.665139 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 11
[Tue Aug 07 23:53:03.665184 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 15
[Tue Aug 07 23:53:03.665195 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 19
[Tue Aug 07 23:53:03.665201 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 27
[Tue Aug 07 23:53:03.665207 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 32
[Tue Aug 07 23:53:03.665213 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 36
[Tue Aug 07 23:53:03.665219 2018] [:error] [pid 16979] [client 127.0.0.1:40236] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/profile/profile-edit.tpl on line 40
[Sat Aug 11 17:59:29.969732 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 17:59:29.990227 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 17:59:29.990266 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 17:59:29.990283 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 17:59:29.990292 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 17:59:29.990300 2018] [:error] [pid 7177] [client 127.0.0.1:38498] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:46.839118 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 18:01:46.839176 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 18:01:46.839188 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:46.839196 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:46.839203 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:46.839210 2018] [:error] [pid 7180] [client 127.0.0.1:38518] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:54.992695 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 18:01:54.992782 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43
[Sat Aug 11 18:01:54.992797 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:54.992806 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:54.992815 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:01:54.992824 2018] [:error] [pid 7021] [client 127.0.0.1:38532] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44
[Sat Aug 11 18:02:09.194100 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43, referer: http://project:81/blog
[Sat Aug 11 18:02:09.194158 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 43, referer: http://project:81/blog
[Sat Aug 11 18:02:09.194169 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44, referer: http://project:81/blog
[Sat Aug 11 18:02:09.194192 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44, referer: http://project:81/blog
[Sat Aug 11 18:02:09.194201 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Undefined variable: currentUser in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44, referer: http://project:81/blog
[Sat Aug 11 18:02:09.194209 2018] [:error] [pid 7026] [client 127.0.0.1:38544] PHP Notice:  Trying to get property of non-object in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 44, referer: http://project:81/blog
[Sun Aug 12 14:17:29.676195 2018] [:error] [pid 5051] [client 127.0.0.1:37324] PHP Fatal error:  Uncaught [HY000] - SQLSTATE[HY000]: General error: 1366 Incorrect integer value: '\xd0\x95\xd0\xbc\xd0\xb5\xd0\xbb\xd1\x8c\xd1\x8f\xd0\xbd \xd0\x9a\xd0\xb0\xd0\xb7\xd0\xb0\xd0\xba\xd0\xbe\xd0\xb2' for column 'author' at row 1\ntrace: #0 /home/alina/www/project/www/libs/rb-mysql.php(1035): RedBeanPHP\\Driver\\RPDO->runQuery('INSERT INTO `bl...', Array)\n#1 /home/alina/www/project/www/libs/rb-mysql.php(1072): RedBeanPHP\\Driver\\RPDO->GetAll('INSERT INTO `bl...', Array)\n#2 /home/alina/www/project/www/libs/rb-mysql.php(4246): RedBeanPHP\\Driver\\RPDO->GetOne('INSERT INTO `bl...', Array)\n#3 /home/alina/www/project/www/libs/rb-mysql.php(5762): RedBeanPHP\\Adapter\\DBAdapter->getCell('INSERT INTO `bl...', Array, 0)\n#4 /home/alina/www/project/www/libs/rb-mysql.php(5889): RedBeanPHP\\QueryWriter\\AQueryWriter->insertRecord('blog', Array, Array)\n#5 /home/alina/www/project/www/libs/rb-mysql.php(7770): RedBeanPHP\\QueryWriter\\AQueryWriter->updateRecord('blog', Array, 0)\n#6 /home/alina/www/project/www/libs/rb-mysql.php(7341): RedBeanPHP\\Repository\\Fluid->storeBean(Object(RedBeanPHP\\OODBBean))\n#7 /home/alina/www/proj in /home/alina/www/project/www/libs/rb-mysql.php on line 768, referer: http://project:81/blog/post-new
[Sun Aug 12 14:31:44.929230 2018] [:error] [pid 5045] [client 127.0.0.1:37340] PHP Warning:  Missing argument 2 for RedBeanPHP\\Facade::load(), called in /home/alina/www/project/www/modules/blog/index.php on line 3 and defined in /home/alina/www/project/www/libs/rb-mysql.php on line 11110, referer: http://project:81/blog
[Sun Aug 12 14:31:44.929314 2018] [:error] [pid 5045] [client 127.0.0.1:37340] PHP Notice:  Undefined variable: id in /home/alina/www/project/www/libs/rb-mysql.php on line 11113, referer: http://project:81/blog
[Sun Aug 12 14:59:33.519814 2018] [:error] [pid 3032] [client 127.0.0.1:39114] PHP Parse error:  syntax error, unexpected '<' in /home/alina/www/project/www/templates/blog/blog-post.tpl on line 20
[Sun Aug 12 16:32:01.051555 2018] [:error] [pid 2688] [client 127.0.0.1:50328] PHP Notice:  Undefined variable: errors in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 1
[Sun Aug 12 16:32:01.066189 2018] [:error] [pid 2688] [client 127.0.0.1:50328] PHP Warning:  Invalid argument supplied for foreach() in /home/alina/www/project/www/templates/_parts/_errors.tpl on line 1
[Sun Aug 12 17:02:43.757725 2018] [:error] [pid 2688] [client 127.0.0.1:37286] PHP Fatal error:  Uncaught Error: Call to undefined function getAll() in /home/alina/www/project/www/modules/blog/post.php:27\nStack trace:\n#0 /home/alina/www/project/www/index.php(71): include()\n#1 {main}\n  thrown in /home/alina/www/project/www/modules/blog/post.php on line 27
[Sun Aug 12 19:17:19.788327 2018] [:error] [pid 3028] [client 127.0.0.1:38646] PHP Notice:  A non well formed numeric value encountered in /home/alina/www/project/www/libs/functions.php on line 80
[Sun Aug 12 19:17:19.817605 2018] [:error] [pid 3028] [client 127.0.0.1:38646] PHP Notice:  A non well formed numeric value encountered in /home/alina/www/project/www/libs/functions.php on line 80
[Sun Aug 12 19:20:08.179501 2018] [:error] [pid 7092] [client 127.0.0.1:40010] PHP Fatal error:  Uncaught Error: Call to undefined function datetime() in /home/alina/www/project/www/templates/blog/comment-card.tpl:7\nStack trace:\n#0 /home/alina/www/project/www/templates/blog/blog-post.tpl(36): include()\n#1 /home/alina/www/project/www/modules/blog/post.php(36): include('/home/alina/www...')\n#2 /home/alina/www/project/www/index.php(71): include('/home/alina/www...')\n#3 {main}\n  thrown in /home/alina/www/project/www/templates/blog/comment-card.tpl on line 7
[Sun Aug 12 19:22:42.506162 2018] [:error] [pid 10646] [client 127.0.0.1:41354] PHP Parse error:  syntax error, unexpected ')', expecting ',' or ';' in /home/alina/www/project/www/templates/blog/comment-card.tpl on line 7
